,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Year,Month,Day,Hour,IsWeekend,Day_Monday,Day_Tuesday,Day_Wednesday,Day_Thursday,Day_Friday,Day_Saturday,Day_Sunday
0,2.6,1360,11.9,1046,166,1056,113.0,1692,1268,13.6,48.9,0.7578,2004,3,10,18,0,0,0,1,0,0,0,0
1,2.0,1292,9.4,955,103,1174,92.0,1559,972,13.3,47.7,0.7255,2004,3,10,19,0,0,0,1,0,0,0,0
2,2.2,1402,9.0,939,131,1140,114.0,1555,1074,11.9,54.0,0.7502,2004,3,10,20,0,0,0,1,0,0,0,0
3,2.2,1376,9.2,948,172,1092,122.0,1584,1203,11.0,60.0,0.7867,2004,3,10,21,0,0,0,1,0,0,0,0
4,1.6,1272,6.5,836,131,1205,116.0,1490,1110,11.2,59.6,0.7888,2004,3,10,22,0,0,0,1,0,0,0,0
5,1.2,1197,4.7,750,89,1337,96.0,1393,949,11.2,59.2,0.7848,2004,3,10,23,0,0,0,1,0,0,0,0
14,2.0,1333,8.0,900,174,1136,112.0,1517,1102,10.8,57.4,0.7408,2004,3,11,8,0,0,0,0,1,0,0,0
15,2.2,1351,9.5,960,129,1079,101.0,1583,1028,10.5,60.6,0.7691,2004,3,11,9,0,0,0,0,1,0,0,0
16,1.7,1233,6.3,827,112,1218,98.0,1446,860,10.8,58.4,0.7552,2004,3,11,10,0,0,0,0,1,0,0,0
17,1.5,1179,5.0,762,95,1328,92.0,1362,671,10.5,57.9,0.7352,2004,3,11,11,0,0,0,0,1,0,0,0
18,1.6,1236,5.2,774,104,1301,95.0,1401,664,9.5,66.8,0.7951,2004,3,11,12,0,0,0,0,1,0,0,0
19,1.9,1286,7.3,869,146,1162,112.0,1537,799,8.3,76.4,0.8393,2004,3,11,13,0,0,0,0,1,0,0,0
20,2.9,1371,11.5,1034,207,983,128.0,1730,1037,8.0,81.1,0.8736,2004,3,11,14,0,0,0,0,1,0,0,0
21,2.2,1310,8.8,933,184,1082,126.0,1647,946,8.3,79.8,0.8778,2004,3,11,15,0,0,0,0,1,0,0,0
22,2.2,1292,8.3,912,193,1103,131.0,1591,957,9.7,71.2,0.8569,2004,3,11,16,0,0,0,0,1,0,0,0
23,2.9,1383,11.2,1020,243,1008,135.0,1719,1104,9.8,67.6,0.8185,2004,3,11,17,0,0,0,0,1,0,0,0
24,4.8,1581,20.8,1319,281,799,151.0,2083,1409,10.3,64.2,0.8065,2004,3,11,18,0,0,0,0,1,0,0,0
27,3.9,1313,12.8,1076,240,957,136.0,1707,1285,9.1,64.0,0.7419,2004,3,11,21,0,0,0,0,1,0,0,0
28,1.5,965,4.7,749,94,1325,85.0,1333,821,8.2,63.4,0.6905,2004,3,11,22,0,0,0,0,1,0,0,0
30,1.7,1080,5.9,805,122,1254,97.0,1375,816,8.3,58.5,0.6438,2004,3,12,0,0,0,0,0,0,1,0,0
31,1.9,1044,6.4,829,133,1247,110.0,1378,832,7.7,59.7,0.6308,2004,3,12,1,0,0,0,0,0,1,0,0
32,1.4,988,4.1,718,82,1396,91.0,1304,692,7.1,61.8,0.6276,2004,3,12,2,0,0,0,0,0,1,0,0
37,1.4,1091,4.4,730,109,1387,104.0,1361,748,6.4,65.1,0.6316,2004,3,12,7,0,0,0,0,0,1,0,0
38,4.4,1587,17.9,1236,307,897,141.0,1900,1400,7.3,63.1,0.6499,2004,3,12,8,0,0,0,0,0,1,0,0
39,3.75,1545,22.1,1353,247,767,131.5,2058,1588,9.2,56.2,0.6561,2004,3,12,9,0,0,0,0,0,1,0,0
40,3.1,1350,14.0,1118,187,912,122.0,1712,1237,13.2,41.7,0.632,2004,3,12,10,0,0,0,0,0,1,0,0
41,2.7,1263,11.6,1037,216,969,143.0,1598,1167,14.3,38.4,0.6243,2004,3,12,11,0,0,0,0,0,1,0,0
42,2.1,1206,10.2,986,143,1035,113.0,1537,959,15.0,36.5,0.6195,2004,3,12,12,0,0,0,0,0,1,0,0
43,2.5,1252,11.0,1016,160,1008,116.0,1593,983,16.1,34.5,0.6262,2004,3,12,13,0,0,0,0,0,1,0,0
44,2.7,1287,12.8,1078,163,949,123.0,1660,1061,16.3,35.7,0.656,2004,3,12,14,0,0,0,0,0,1,0,0
45,2.9,1353,14.2,1122,190,922,126.0,1740,1139,15.8,37.0,0.661,2004,3,12,15,0,0,0,0,0,1,0,0
46,2.8,1309,12.7,1073,178,954,120.0,1657,1112,15.9,37.2,0.6657,2004,3,12,16,0,0,0,0,0,1,0,0
